,"Crude suicide rates (per 100 000 population)","Crude suicide rates (per 100 000 population)","Crude suicide rates (per 100 000 population)","Crude suicide rates (per 100 000 population)","Crude suicide rates (per 100 000 population)"
,"2016","2015","2010","2005","2000"
"Country","Both sexes","Both sexes","Both sexes","Both sexes","Both sexes"
"Timor-Leste","4.6","4.6","5.3","6.2","9.3"
"Togo","9.6","9.4","9.5","9.9","9.6"
"Tonga","3.5","3.5","3.6","3.4","3.6"
"Trinidad and Tobago","13.6","13.6","14.5","12.3","14.9"
"Tunisia","3.4","3.4","3.6","3.6","3.5"
"Turkey","7.3","7.3","8.4","7.6","7.2"
"Turkmenistan","6.7","7.2","7.6","11.7","9.1"
"Uganda","9.9","9.9","10.5","10.5","11.1"
"Ukraine","22.4","23.1","27.1","34.5","36.9"
"United Arab Emirates","2.8","2.8","3.0","3.1","3.2"
"United Kingdom of Great Britain and Northern Ireland","8.9","8.7","7.8","8.2","9.1"
"United Republic of Tanzania","5.4","5.4","5.3","5.5","6.9"
"United States of America","15.3","15.0","13.2","11.9","11.3"
"Uruguay","18.4","19.4","16.6","15.3","17.4"
"Uzbekistan","7.4","7.4","6.0","5.8","7.6"
"Vanuatu","4.5","4.5","5.1","5.7","7.3"
"Venezuela (Bolivarian Republic of)","3.7","3.8","4.3","5.9","8.0"
"Viet Nam","7.3","7.2","7.0","6.7","6.7"
"Yemen","8.5","8.6","8.8","8.1","6.8"
"Zambia","6.1","6.1","6.3","6.5","8.1"
"Zimbabwe","10.7","10.6","11.9","13.9","12.9"
